target_angle,beta,R_mean,stable,eff_rate,time_sec
0.0,0.943082714663054,0.9317341256648929,1,0.74125,2008.034853219986
10.0,0.9364027940814451,0.9317578718655021,1,0.7525,2091.546629667282
20.0,0.8893289580818451,0.9317934911664133,1,0.7475,2209.4773750305176
30.0,0.9478517415945495,0.9304993232332822,1,0.72125,2572.3361291885376
40.0,0.9244366569013324,0.9317430304901213,1,0.74875,1914.1474828720093
50.0,0.9210851626278393,0.931891444243921,1,0.7425,2031.6042008399963
60.0,0.9393867909767192,0.9312636540653498,1,0.7575,2072.6815507411957
70.0,0.9273150362016416,0.9314001947188453,1,0.74625,2878.9816682338715
80.0,0.8686365703793895,0.9313927740311544,1,0.7375,2661.253215074539
90.0,0.8997252273321781,0.9312918526785721,1,0.78,2647.567432165146
100.0,0.9340306420716187,0.9310707161854099,1,0.755,2706.3847963809967
109.5,0.8807900724567529,0.9317445146276594,1,0.75375,2442.6397111415863
110.0,0.8926862847638364,0.9313289561170207,1,0.74,2377.9390103816986
120.0,0.9000147788929868,0.9310618113601823,1,0.745,2834.2851119041443
130.0,0.945891188393201,0.9316866332636791,1,0.74125,2667.5725762844086
137.5,0.9026593614101294,0.9311716375379951,1,0.74,2676.6880979537964
140.0,0.9560232601978357,0.9310796210106383,1,0.73875,2634.9947130680084
150.0,0.8914297746830147,0.930971278970365,1,0.75625,2643.929224252701
160.0,0.9543235984256281,0.9317356098024322,1,0.755,2614.564544439316
170.0,0.958663107395914,0.9315946167363239,1,0.7625,2636.227783679962
180.0,0.9036296223737786,0.9317727132408816,1,0.75875,2190.6642985343933
